Unnamed: 0,번호,제목,저자,출판사,출판일
,37,Application of finite mixture models for vehicle crash data analysis,"Park, B. J.; Lord, D.","Elsevier Science B.V., Amsterdam.",2009
,38,Production data analysis system using novel process capability indices-based circular economy,"Lin, Kuo-Ping; Yu, Chun-Min; Chen, Kuen-Suan",Emerald Group Publishing Limited,2019
,39,Time Series Intervals and Statistical Inference: The Effects of Temporal Aggregation on Event Data Analysis,"Shellman, S. M.",Oxford University Press,2004
,40,Beyond the Bell-Shaped Curve: Poisson Models in Spatial Data Analysis,unknown,Blackwell publishing Ltd,2006
,41,Chunking: A procedure to improve naturalistic data analysis,"Dozza, M.; Bargman, J.; Lee, J. D.","Elsevier Science B.V., Amsterdam.",2013
,42,Characterisation of different types of hay by solid-phase micro-extraction-gas chromatography mass spectrometry and multivariate data analysis,"Valtiner, S. M.; Bonn, G. K.; Huck, C. W.","John Wiley & Sons, Ltd",2008
,43,Big data analysis adaptation and enterprises' competitive advantages: the perspective of dynamic capability and resource-based theories,"Shan, Siqing; Luo, Yiting; Zhou, Yuan; Wei, Yigang",Taylor & Francis,2019
,44,"Book Review: Advanced Spatial Data Analysis with R, R. Bivand, E. Pebesma and V. Gomez-Rubio, Second Edition, Springer, Softcover and eBook, 405 pages, 2013","Lovelace, R.",SPRINGER SCIENCE + BUSINESS MEDIA,2015
,45,"Improved longitudinal data analysis for cross-over design settings, with a piecewise linear mixed-effects model","Mwangi, Moses; Verbeke, Geert; Njagi, Edmund Njeru; Mwalili, Samuel; Ivanova, Anna; Bukania, Zipporah N; Molenberghs, Geert",Taylor & Framcis,2021
,46,Fault isolation through test data analysis,"Beachkofski, B.; Terning, N.; Dlugopolsky, J.","Elsevier Science B.V., Amsterdam.",2009
,47,Gene microarray data analysis using parallel point-symmetry-based clustering,"Sarkar, A.; Maulik, U.",Inderscience Enterprises Ltd,2015
,48,High dimensional data analysis using multivariate generalized spatial quantiles,"Mukhopadhyay, N. D.; Chatterjee, S.","Elsevier Science B.V., Amsterdam",2011
,49,Spatial patterns of urban green space and its actual utilization status in China based on big data analysis,"Huang, Yiyi; Lin, Tao; Zhang, Guoqin; Zhu, Yongguan; Zeng, Zhiwei; Ye, Hong",John Wiley & Sons Ltd,2021
,50,Reputation modelling in Citizen Science for environmental acoustic data analysis,"Yang, H.; Zhang, J.; Roe, P.",SPRINGER,2013
,51,Gene microarray data analysis using parallel point?symmetry?based clustering,"Sarkar, Anasua; Maulik, Ujjwal",Inderscience Enterprises Ltd,2015
,52,A Bayesian framework for knowledge driven regression model in micro-array data analysis,"Jin, R.; Si, L.; Chan, C.",INDERSCIENCE PUBLISHERS,2008
,53,New methods for data analysis of isothermal titration calorimetry,"Saboury, A. A.",Kluwer Academic Publishers,2003
,54,Statistical methods for metagenomics data analysis,"Lee, Chanyoung; Lee, Seungyeoun; Park, Taesung",Inderscience Enterprises Ltd,2017
,55,Correction of serum NSE reference intervals includes the unidentified hemolysis sample: 1?year data analysis from healthcare individuals,"Xie, Erfu; Zhang, Wei; Xu, Huaguo; Ling, Yun; Zhang, Qiaodi; Pan, Shiyang","John Wiley & Sons, Ltd",2019
,56,A Distributed and Incremental SVD Algorithm for Agglomerative Data Analysis on Large Networks,"Iwen,  M. A.; Ong,  B. W.",SIAM SOCIETY FOR INDUSTRIAL AND APPLIED,2016
,57,Combining kNN Imputation and Bootstrap Calibrated: Empirical Likelihood for Incomplete Data Analysis,Yongsong Qin; Shichao Zhang; Chengqi Zhang,Idea Group Pub,2010
,58,Does economic policy uncertainty affect cross-border M&As? ?? A data analysis based on Chinese multinational enterprises,"Li, Fengchun; Liang, Ting; Zhang, Hailian","Elsevier Science B.V., Amsterdam.",2021
,59,Grouped Dirichlet distribution: A new tool for incomplete categorical data analysis,"Ng, K. W.; Tang, M. L.; Tan, M.; Tian, G. L.","Elsevier Science B.V., Amsterdam",2008
,60,Diffusion operators for multimodal data analysis,"Shnitzer, Tal; Lederman, Roy R.; Liu, Gi-Ren; Talmon, Ronen; Wu, Hau-Tieng",ELSEVIER,2019
,61,Method of multimodal biometric data analysis for optimal efficiency evaluation of recognition algorithms and systems,"Lobantsov, V. V.; Matveev, I. A.; Murynin, A. B.",Springer Science + Business Media,2011
,62,Robust Extrema Features for Time-Series Data Analysis,"Vemulapalli, P. K.; Monga, V.; Brennan, S. N.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,63,Multi-kernel LS-SVM based integration bio-clinical data analysis and application to ovarian cancer,"Thomas, Jaya; Sael, Lee",Inderscience Enterprises Ltd,2017
,64,Feature cluster selection for high-throughput data analysis,"Yu, L.",INDERSCIENCE PUBLISHERS,2009
,65,On the use of AES data analysis to determine local enrichments of conversion coating elements at intermetallic particles on rolled Al,"Bouckenooge, Pieter; Bauer, Oliver; Eckhard, Kathrin; Terryn, Herman","John Wiley & Sons, Ltd",2020
,66,Incentive Compatible Privacy-Preserving Data Analysis,"Kantarcioglu, M.; Jiang, W.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,67,Thermal conductivity instrument for measuring planetary atmospheric properties and data analysis technique,"Hathi, B.; Daniell, P. M.; Banaszkiewicz, M.; Hagermann, A.; Leese, M. R.; Zarnecki, J. C.",Springer Science + Business Media,2007
,68,Matrix factorisation methods applied in microarray data analysis,"Kossenkov, A.V.; Ochs, M.F.",INDERSCIENCE PUBLISHERS,2010
,69,Adiabatic calorimetry. A contribution to an advanced method of data analysis,"Tufano, V.",JOHN WILEY & SONS LTD,1993
,70,Comparing response blocking and response interruption/redirection on levels of motor stereotypy: Effects of data analysis procedures,"DeRosa, Nicole M.; Novak, Matthew D.; Morley, Allison J.; Roane, Henry S.",John Wiley & Sons Ltd,2019
,71,A novel network and sparsity constraint regression model for functional module identification in genomic data analysis,"Xia, Z.; Chen, W.; Chang, C.; Zhou, X.",Inderscience Enterprises Ltd,2013
,72,Recommendations for reporting thermal analysis data,"Dunn, J. G.",JOHN WILEY & SONS LTD,1993
,73,One approach to data analysis in recognition problems on precedents,"Katerinochkina, N. N.",Springer Science + Business Media,2013
,74,Use of multidimensional data analysis for prediction of lung malignity,"Mrazova, V.; Mocak, J.; Varmusova, E.; Kavkova, D.; Bednarova, A.","Elsevier Science B.V., Amsterdam.",2009
,75,Kinetic studies of pyrolysis and combustion of Thar coal by thermogravimetry and chemometric data analysis,"Sarwar, A.; Nasiruddin Khan, M.; Azhar, K. F.",Springer Science + Business Media,2012
,76,Method for detecting significant patterns in panel data analysis,"Kirilyuk, I. L.; Kuznetsova, A. V.; Sen’ko, O. V.; Morozov, A. M.",Springer Science + Business Media,2017
,77,Genetic algorithms for problems of logical data analysis in discrete optimization and image recognition,"Sotnezov, R. M.",Springer Science + Business Media,2009
,78,Stakeholder Perceptions and Word-of-Mouth on CSR Dynamics: A Big Data Analysis from Twitter,Andree Marie Lopez-Fernandez; Zamira Burgos Silva,"Idea Group Pub.,",2018
,79,Achieving semiparametric efficiency bound in longitudinal data analysis with dropouts,"Han, P.; Song, P. X.; Wang, L.","Elsevier Science B.V., Amsterdam",2015
,80,A novel filter feature selection method for paired microarray expression data analysis,"Cao, Zhongbo; Wang, Yan; Sun, Ying; Du, Wei; Liang, Yanchun",Inderscience Enterprises Ltd,2015
,81,Bayesian Nonparametric Models for Multiway Data Analysis,"Xu, Z.; Yan, F.; Qi, Y.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,82,The application of self-organising maps to performance analysis data in rugby union,"Croft, Hayden; Lamb, Peter; Middlemas, Simon",TAYLOR AND FRANCIS,2015
,83,Application of a simple calorimetric data analysis on the binding study of calcium ions by human growth hormone,"Saboury, A. A.; Atri, M. S.; Sanati, M. H.; Sadeghi, M.",Springer Science + Business Media,2006
,84,Distributed Feature Selection for Efficient Economic Big Data Analysis,"Zhao, L.; Chen, Z.; Hu, Y.; Min, G.; Jiang, Z.",unknown,2018
,85,Role of the ATLAS Grid Information System (AGIS) in Distributed Data Analysis and Simulation,"Anisenkov, A. V.",Springer Nature,2018
,86,Pyrolysis and combustion model of oil sands from non-isothermal thermogravimetric analysis data,"Jia, C.; Wang, Q.; Ge, J.; Xu, X.",Springer Science + Business Media,2014
,87,Automating Image Processing for Scientific Data Analysis of a Large Image Database,"Chien, S. A.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,1996
,88,A novel random forests-based feature selection method for microarray expression data analysis,"Yao, Dengju; Yang, Jing; Zhan, Xiaojuan; Zhan, Xiaorong; Xie, Zhiqiang",Inderscience Enterprises Ltd,2015
,89,Persistence Paths and Signature Features in Topological Data Analysis,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,90,A multi-objective feature selection and classifier ensemble technique for microarray data analysis,"Dash, Rasmita; Misra, Bijan Bihari",Inderscience Enterprises Ltd,2018
,91,Comparison between two PCR-based bacterial identification methods through artificial neural network data analysis,"Wen, J.; Zhang, X.; Gao, P.; Jiang, Q.","John Wiley & Sons, Ltd",2008
,92,Adequateness and interpretability of objective functions in ordinal data analysis,"Herden, G.; Pallack, A.","Elsevier Science B.V., Amsterdam",2005
,93,Does ownership structure affect value? A panel data analysis for the Spanish market,"Minguez-Vera, A.; Martin-Ugedo, J. F.","Elsevier Science B.V., Amsterdam.",2007
,94,A novel multi-stage feature selection method for microarray expression data analysis,"Du, W.; Sun, Y.; Wang, Y.; Cao, Z.; Zhang, C.; Liang, Y.",Inderscience Enterprises Ltd,2013
,95,New cluster ensemble approach to integrative biological data analysis,"Iam-On, N.; Boongoen, T.; Garrett, S.; Price, C.",Inderscience Enterprises Ltd,2013
,96,A mobile computing solution for collecting functional analysis data on a Pocket PC,"Jackson, J.; Dixon, M. R.",UNIVERSITY OF KANSAS,2007
,97,Design of experiment and data analysis by JMP (SAS institute) in analytical method validation,"Ye, C.",ELSEVIER,2000
,98,Miscibility of polymer blends studied by a simplified method of data analysis using light heating modulated temperature DSC,"Saruyama, Y.; Wakiyama, S.; Tsukahara, Y.",Kluwer Academic Publishers,2002
,99,Prediction of higher heating values of plant biomass from ultimate analysis data,"Bychkov, A. L.; Denkin, A. I.; Tikhova, V. D.; Lomovsky, O. I.",Springer Science + Business Media,2017
,100,"Sparse representations with applications in imaging science, data analysis and beyond","Dong, B.; Jiang, Q.; Shen, L.","Elsevier Science B.V., Amsterdam",2016
,1,"Assessment of the Relationship between Income Inequality and Economic Growth: A Panel Data Analysis of the 32 Federal Entities of Mexico, 1960-2002","Ortega-Diaz, A.",NORTH HOLLAND,2006
,2,Physico-chemical characterization and thermal analysis data of alumina waste from Bayer process,"Yoshida, M. I.; Silva, V. R.; Pinto, P. C.; Sant’Anna, S. S.; Silva, M. C.; Carvalho, C. F.",Springer Science + Business Media,2012
,3,Introduction to the special issue: interdisciplinary aspects of panel data analysis,"Haupt, H.; Hsiao, C.",Springer Science + Business Media,2011
,4,Efficient Multilevel Eigensolvers with Applications to Data Analysis Tasks,"Kushnir, D.; Galun, M.; Brandt, A.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2010
,5,Effective peak alignment for mass spectrometry data analysis using two-phase clustering approach,"Liu, Y.-C.; Chen, L.-C.; Liu, C.-W.; Tseng, V.S.",Inderscience Enterprises Ltd,2014
,6,"Time Series: a Data Analysis Approach Using R By Robert H. Shumway and David S. Stoffer. Published by Taylor & Francis Group, LLC, Boca Raton, London, New York, 2019. ISBN: 9780367221096 (Hardback)","Nunes, Matthew","John Wiley & Sons, Ltd",2020
,7,Multi-view kernel consensus for data analysis,"Salhov, Moshe; Lindenbaum, Ofir; Aizenbud, Yariv; Silberschatz, Avi; Shkolnisky, Yoel; Averbuch, Amir","Elsevier Science B.V., Amsterdam",2020
,8,Concurrent software architectures for exploratory data analysis,"Stari?, An?e; Dem?ar, Janez; Zupan, Bla?",John Wiley & Sons Ltd,2015
,9,The Development of a Wave Data Analysis Standard for a National Wave Measurement Program,"Tubman, M.; Earle, M. D.; McGehee, D. D.",American Society of Civil Engineers,1993
,10,Tuberculosis epidemiology in Russia: the mathematical model and data analysis,"Perelman, G. M.; Marchuk, G. I.; Borisov, S. E.; Kazennykh, B. Y.; Avilov, K. K.; Karkach, A. S.; Romanyukha, A. A.",VSP BV,2004
,11,Parameter change test for random coefficient integer-valued autoregressive processes with application to polio data analysis,"Kang, J.; Lee, S.",Blackwell Publishing Ltd,2009
,12,Local-Learning-Based Feature Selection for High-Dimensional Data Analysis,"Sun, Y.; Todorovic, S.; Goodison, S.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2010
,13,Recognition of biomedical signals based on their spectral description data analysis,"Manilo, L. A.; Nemirko, A. P.",Springer Science + Business Media,2016
,14,A delaunay diagram?based min?max cp?tree algorithm for spatial data analysis,"Sundaram, Venkatesan Meenakshi; Thangavelu, Arunkumar",John Wiley & Sons Ltd,2015
,15,Discrimination and classification of wines based on polypyrrole modified screen-printed carbon electrodes coupled with multivariate data analysis,"Elisabeta-Irina Gean?, Victoria Artem, Constantin Apetrei",Academic Press,2021
,16,Application of artificial neural networks to develop a classification model between genetically modified maize (Bt-176) and conventional maize by applying lipid analysis data,"El-Sanhoty, R.; Shahwan, T.; Ramadan, M. F.","Elsevier Science B.V., Amsterdam",2006
,17,NIR spectroscopy of natural medicines supported by novel instrumentation and methods for data analysis and interpretation,"Be?, Krzysztof B.; Grabska, Justyna; Huck, Christian W.","Elsevier Science B.V., Amsterdam.",2021
,18,Making the dietary guidelines for Americans “for Americans”: The critical role of data analyses,Eve Essery Stoody; Kellie O. Casavale;,Academic Press,2017
,19,Discrimination and classification of wines based on polypyrrole modified screen-printed carbon electrodes coupled with multivariate data analysis,"Gean?, Elisabeta-Irina; Artem, Victoria; Apetrei, Constantin","Elsevier Science B.V., Amsterdam",2021
,20,Experimental Design for Food Composition Data Analysis,"Rand, W. M.",ACADEMIC PRESS,1992
,21,MAP-JOIN-REDUCE: Toward Scalable and Efficient Data Analysis on Large Clusters,"Jiang, D.; Tung, A.K.H.; Chen, G.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2011
,22,Metabolomic profiling of the antitussive and expectorant plant Tussilago farfara L. by nuclear magnetic resonance spectroscopy and multivariate data analysis,"Li, Z. Y.; Zhi, H. J.; Zhang, F. S.; Sun, H. F.; Zhang, L. Z.; Jia, J. P.; Xing, J.; Qin, X. M.","Elsevier Science B.V., Amsterdam.",2013
,23,Fingerprinting of morphine using chromatographic purity profiling and multivariate data analysis,unknown,"Elsevier Science B.V., Amsterdam.",2015
,24,Sparse-TDA: Sparse Realization of Topological Data Analysis for Multi-Way Classification,"Guo, W.; Manohar, K.; Brunton, S. L.; Banerjee, A. G.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,25,Introduction to 2008/2 Issue on Real-Time Data Analysis,"van Norden, S.",OECD Publications,2008
,26,"Rapid and global detection and characterization of aconitum alkaloids in Yin Chen Si Ni Tang, a traditional Chinese medical formula, by ultra performance liquid chromatography-high resolution mass spectrometry and automated data analysis","Yan, G.; Sun, H.; Sun, W.; Zhao, L.; Meng, X.; Wang, X.","Elsevier Science B.V., Amsterdam.",2010
,27,Data Merging for Multi-setup Operational Modal Analysis with Data-driven SSI,"Dohler, M.; Andersen, P.; Mevel, L.",New York; Curran,2010
,28,A Data Envelopment Analysis-Based Approach for Data Preprocessing,"Pendharkar, P. C.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2005
,29,A comparison of self-reported motor vehicle collision injuries compared with official collision data: An analysis of age and sex trends using the Canadian National Population Health Survey and Transport Canada data,"Roberts, S. E.; Vingilis, E.; Wilk, P.; Seeley, J.","Elsevier Science B.V., Amsterdam.",2008
,30,Evaluation of thermal analysis experimental data. II. Optimal conditions for evolved gas analysis of thermal decomposition of solids,"Balek, V.",JOHN WILEY & SONS LTD,1993
,31,"Data stream analysis: Foundations, major tasks and tools","Bahri, Maroua; Bifet, Albert; Gama, Joao; Gomes, Heitor Murilo; Maniu, Silviu",John Wiley & Sons Ltd,2021
,32,Data-driven spectral analysis of the Koopman operator,"Korda, Milan; Putinar, Mihai; Mezi?, Igor","Elsevier Science B.V., Amsterdam",2020
,33,Data Envelopment Analysis: The Evolution of the State of the Art (1978-1995),"Seiford, L. M.",KLUWER ACADEMIC PUBLISHERS,1996
,34,Data-driven timeA￠a?￢a€œfrequency analysis,"Hou, T. Y.; Shi, Z.","Elsevier Science B.V., Amsterdam",2013
,35,Data-independent proteome analysis of ARPE-19 cells,"Koirala, Diwa; Beranova-Giorgianni, Sarka; Giorgianni, Francesco","Elsevier Science B.V., Amsterdam",2018
,36,A Generalized Goals-achievement Model in Data Envelopment Analysis: an Application to Efficiency Improvement in Local Government Finance in Japan,"Nijkamp, P.; Suzuki, S.",Taylor & Francis,2009
,37,Notes on Sensitivity and Stability of the Classifications of Returns to Scale in Data Envelopment Analysis: A Comment,"Seiford, L. M.; Zhu, J.",Springer Science + Business Media,2005
,38,Prediction for cardiovascular diseases based on laboratory data: An analysis of random forest model,"Su, Xi; Xu, Yongyong; Tan, Zhijun; Wang, Xia; Yang, Peng; Su, Yani; Jiang, Yangyang; Qin, Sijia; Shang, Lei","John Wiley & Sons, Ltd",2020
,39,Improving discrimination in data envelopment analysis: some practical suggestions,"Podinovski, V. V.; Thanassoulis, E.",Springer Science + Business Media,2007
,40,Categorical and continuous non-discretionary variables in data envelopment analysis: a comparison of two single-stage models,"Harrison, J.; Rouse, P.; Armstrong, J.",Springer Science + Business Media,2012
,41,Convergence of a data-driven time?frequency analysis method,"Hou, T. Y.; Shi, Z.; Tavallali, P.","Elsevier Science B.V., Amsterdam",2014
,42,Multicomponent Efficiency Measurement and Shared Inputs in Data Envelopment Analysis: An Application to Sales and Service Performance in Bank Branches,"Cook, W. D.",KLUWER ACADEMIC PUBLISHERS,2000
,43,Sampling and Subsampling for Cluster Analysis in Data Mining With Applications to Sky Survey Data,"Rocke, D. M.; Dai, J.",Kluwer Academic Publishers,2003
,44,The Analysis of Sense-Data: A Reply to Mr. Paul,"Wisdom, J. O.","[Analysis Committee, Oxford University Press]",1936
,45,The Analysis of Sense-Data,"Wisdom, J. O.","[Analysis Committee, Oxford University Press]",1935
,46,Demand-Driven Information Requirements Analysis in Data Warehousing,"Winter, R.; Strauch, B.",THE DATA WAREHOUSE INSTITUTE,2003
,47,The symbiosis of scientific and technological innovation efficiency and economic efficiency in China ? an analysis based on data envelopment analysis and logistic model,"Wang, Song; Zhang, Jianqing; Fan, Fei; Lu, Fei; Yang, Lisheng",Taylor & Francis,2019
,48,Automated analysis of data mark microstructure of various media in the Optical Disc Industry,unknown,IEEE,2000
,49,"Availability and consistency of health and non-health data for road traffic fatality: Analysis of data from 195 countries, 1985?2013","Huang, Helai; Yin, Qingyi; Schwebel, David C.; Ning, Peishan; Hu, Guoqing","Elsevier Science B.V., Amsterdam.",2017
,50,BAYESIAN ANALYSIS OF CERIA NANOPARTICLES FROM LINE PROFILE DATA,"Armstrong, N.; Dowd, A.; Cline, J. P.; Kalceff, W.","Newtown Square, Pa.:; International Centre for Diffraction Data,",2005
,51,WASTE REDUCTION AND PROCESS IMPROVEMENTS IN THE ANALYSIS OF PLUTONIUM BY X-RAY FLUORESCENCE: RESULTS FROM MULTIPLE DATA SETS,"Worley, C.G.; Soderberg, C.B.; Townsend, L.E.","Newtown Square, Pa.; International Centre for Diffraction Data",2011
,52,Visual analysis of data in a multielement design,"Diller, J. W.; Barry, R. J.; Gelino, B. W.",Society for the Experimental Analysis of Behavior,2016
,53,Building an Earth Observations Data Cube: lessons learned from the Swiss Data Cube (SDC) on generating Analysis Ready Data (ARD),"Giuliani, Gregory; Chatenoux, Bruno; De Bono, Andrea; Rodila, Denisa; Richard, Jean-Philippe; Allenbach, Karin; Dao, Hy; Peduzzi, Pascal",John Wiley & Sons Ltd,2017
,54,Performance Evaluation and Benchmarking of Indian Banks: An Application Data Envelopment Analysis,"Debnath, R.M.; Shankar, R.",unknown,2008
,55,"The Use of Goal Programming, Regression Analysis and Data Envelopment Analysis for Estimating Efficient Marginal Costs of Hospital Services","Giokas, D.",WILEY PUBLISHERS,2002
,56,Labor productivity convergence in the Kansas farm sector: a three-stage procedure using data envelopment analysis and semiparametric regression analysis,"Mugera, A. W.; Langemeier, M. R.; Featherstone, A. M.",Springer Science + Business Media,2012
,57,Horizontal Aggregations in SQL to Prepare Data Sets for Data Mining Analysis,"Ordonez, C.; Chen, Z.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2012
,58,Data and meta-analysis for choosing sugammadex or neostigmine for routine reversal of rocuronium block in adult patients,"Hurford, William E.; Eckman, Mark H.; Welge, Jeffrey A.","Elsevier Science B.V., Amsterdam",2020
,59,Integrated data envelopment analysis and multicriteria decision-making ranking approach based on peer-evaluations and subjective preferences: case study in banking sector,"Puri, Jolly; Verma, Meenu",Emerald Publishing,2020
,60,Data on analysis of temperature inversion during spontaneous combustion of coal,"Guo, Jun; Wen, Hu; Liu, Yin; Jin, Yongfei","Elsevier Science B.V., Amsterdam",2019
,61,Supporting data for analysis of the Helicobacter pylori exoproteome,"Snider, Christina A.; Voss, Bradley J.; McDonald, W. Hayes; Cover, Timothy L.","Elsevier Science B.V., Amsterdam",2015
,62,Whole-genome sequence data and analysis of Lactobacillus delbrueckii subsp. lactis ACA-DC 178 isolated from Greek Kasseri cheese,"Alexandraki, Voula; Kazou, Maria; Pot, Bruno; Tsakalidou, Effie; Papadimitriou, Konstantinos","Elsevier Science B.V., Amsterdam",2019
,63,Analysis of data for comorbidity and survival in out-of-hospital cardiac arrest,"Hirlekar, Geir; Jonsson, Martin; Karlsson, Thomas; Hollenberg, Jacob; Albertsson, Per; Herlitz, Johan","Elsevier Science B.V., Amsterdam",2018
,64,Data on analysis of coronary atherosclerosis on computed tomography and 18F-sodium fluoride positron emission tomography,"Kitagawa, Toshiro; Yamamoto, Hideya; Toshimitsu, Shinya; Sasaki, Ko; Senoo, Atsuhiro; Kubo, Yumiko; Tatsugami, Fuminari; Awai, Kazuo; Hirokawa, Yutaka; Kihara, Yasuki","Elsevier Science B.V., Amsterdam",2017
,65,Data on analysis of OCC-1 transcript levels in pluripotent and differentiated states of P19?cells,"Hosseininia, Zahra; Soltanian, Sara; Mahdavi-Shahri, Naser; Dehghani, Hesam","Elsevier Science B.V., Amsterdam",2020
,66,Effect of parental origin of damaging variants in pro-angiogenic genes on fetal growth in patients with congenital heart defects: Data and analyses,"Russell, Mark W.; Moldenhauer, Julie S.; Rychik, Jack; Burnham, Nancy B.; Zullo, Erin; Parry, Samuel I.; Simmons, Rebecca A.; Elovitz, Michal A.; Nicolson, Susan C.; Linn, Rebecca L.; Johnson, Mark P.; Yu, Sunkyung; Sampson, Matthew G.; Hakonarson, Hakon;","Elsevier Science B.V., Amsterdam",2019
,67,Whole-genome sequence data and analysis of a Staphylococcus aureus strain SJTUF_J27 isolated from seaweed,"Xie, Yanping; He, Yiping; Ghatak, Sandeep; Irwin, Peter; Yan, Xianghe; Strobaugh, Jr., Terence P.; Gehring, Andrew","Elsevier Science B.V., Amsterdam",2018
,68,Data and analyses of phase relations in the Ce-Fe-Sb ternary system,"Zhu, Daiman; Xu, Chengliang; Li, Changrong; Guo, Cuiping; Zheng, Raowen; Du, Zhenmin; Li, Junqin","Elsevier Science B.V., Amsterdam",2018
,69,Data Envelopment Analysis with Reverse Inputs and Outputs,"Lewis, H. F.; Sexton, T. R.",Kluwer Academic Publishers,2004
,70,Draft genome sequence data and analysis of Brachybacterium sp. strain EE-P12 isolated from a laboratory-scale anaerobic reactor,"Ziganshina, Elvira E.; Mohammed, Waleed S.; Shagimardanova, Elena I.; Ziganshin, Ayrat M.","Elsevier Science B.V., Amsterdam",2018
,71,The effect of statins therapy in aortic stenosis: Meta-analysis comparison data of RCTs and observationals,"Zhao, Ying; Nicoll, Rachel; He, Yi hua; Henein, Michael Y.","Elsevier Science B.V., Amsterdam",2016
,72,R program for estimation of group efficiency and finding its gradient. Stochastic data envelopment analysis with a perfect object approach,"Vaninsky, Alexander","Elsevier Science B.V., Amsterdam",2018
,73,Data on analysis of MK-801 bioavailability in mouse plasma and brain tissue by ultra-performance liquid chromatography-tandem mass spectrometry,"Svalbe, Baiba; Grinberga, Solveiga; Stelfa, Gundega; Vavers, Edijs; Zvejniece, Baiba; Sevostjanovs, Eduards; Dambrova, Maija; Zvejniece, Liga","Elsevier Science B.V., Amsterdam",2019
,74,Draft genome sequence data and analysis of Shinella sp. strain JR1-6 isolated from nitrate- and radionuclide-contaminated groundwater in Russia,"Grouzdev, Denis S.; Babich, Tamara L.; Sokolova, Diyana S.; Tourova, Tatiyana P.; Poltaraus, Andrey B.; Nazina, Tamara N.","Elsevier Science B.V., Amsterdam",2019
,75,Data and analyses of woody restoration planting survival and growth as a function of wild ungulate herbivory,"Averett, Joshua P.; Wisdom, Michael J.; Naylor, Bridgett J.; Rowland, Mary M.; Endress, Bryan A.","Elsevier Science B.V., Amsterdam",2017
,76,Whole-genome sequence data and analysis of type strains 'Pusillimonas nitritireducens' and 'Pusillimonas subterraneus' isolated from nitrate- and radionuclide-contaminated groundwater in Russia,"Grouzdev, Denis S.; Tourova, Tatiyana P.; Babich, Tamara L.; Shevchenko, Margarita A.; Sokolova, Diyana S.; Abdullin, Ruslan R.; Poltaraus, Andrey B.; Toshchakov, Stepan V.; Nazina, Tamara N.","Elsevier Science B.V., Amsterdam",2018
,77,Collection of human reaction times and supporting health related data for analysis of cognitive and physical performance,"Br?ha, Petr; Mou?ek, Roman; Vacek, Vit?zslav; ?nejdar, Pavel; ?erna, Kate?ina; ?eho?, Petr","Elsevier Science B.V., Amsterdam",2018
,78,Analysis of Data Structures for Admission Control of Advance Reservation Requests,"Burchard, L.-O.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2005
,79,X-ray diffraction data and analysis to support phase identification in FeSe and Fe7Se8 epitaxial thin films,"Harris, Sumner B.; Camata, Renato P.","Elsevier Science B.V., Amsterdam",2019
,80,Data envelopment analysis and Malmquist indices for measuring group performance,"Camanho, A. S.; Dyson, R. G.",Springer Science + Business Media,2006
,81,"Whole genome sequencing data and analysis of a rifampicin-resistant Mycobacterium tuberculosis strain SBH162 from Sabah, Malaysia","Jani, Jaeyres; Mustapha, Zainal Arifin; Jamal, Norfazirah Binti; Stanis, Cheronie Shely; Ling, Chin Kai; Avoi, Richard; Tha, Naing Oo; Gantul, Valentine; Mori, Daisuke; Ahmed, Kamruddin","Elsevier Science B.V., Amsterdam",2019
,82,Whole-genome sequence data and analysis of Saccharibacillus sp. ATSA2 isolated from Kimchi cabbage seeds,"Jiang, Lingmin; Lim, Chan Ju; Jeong, Jae Cheol; Kim, Cha Young; Kim, Dae-Hyuk; Kim, Suk Weon; Lee, Jiyoung","Elsevier Science B.V., Amsterdam",2019
,83,Data envelopment analysis for decision support,"Seydel, J.",Emerald Group Publishing Limited,2006
,84,Data and analysis script for infant and adult eye movement in an adapted ocular-motor serial reaction time task assessing procedural memory,"Koch, Felix-Sebastian; Sundqvist, Anett; Thornberg, Ulrika Birberg; Ullman, Michael T.; Barr, Rachel; Rudner, Mary; Heimann, Mikael","Elsevier Science B.V., Amsterdam",2020
,85,Data for analysis of mannose-6-phosphate glycans labeled with fluorescent tags,"Kang, Ji-Yeon; Kwon, Ohsuk; Gil, Jin Young; Oh, Doo-Byoung","Elsevier Science B.V., Amsterdam",2016
,86,A Data Complexity Analysis of Comparative Advantages of Decision Forest Constructors,"Ho, T. K.",Springer,2002
,87,DMA data tracker: Analysis of four waves of research,"Drye, D. T.",Palgrave Macmillan,2013
